Data from January 16th: https://app.notion.com/p/b-next/PPK-energy-module-ClpXP-control-module-integration-2eaae616eb51806f92f0d702d2048951?source=copy_link,,,,,,,
,,,,,,,
,,3X Energy Mix:,,,,,
,,Component,Stock concentration [mM],Concentration of components in reaction [mM],Concentration in Energy solution [mM],Volume for the experimentFinal volume to add [µL],
,,HEPES,1000,50,150,7.5,
,,Potassium glutamate,2500,100,300,6,
,,NTP,100,2,6,3,
,,tRNA [mg/mL],35,3.5,10.5,15,
,,TCEP,500,1,3,0.3,
,,Folinic acid,5,0.02,0.06,0.6,
,,Spermidine,200,2,6,1.5,
,,Amino Acid solution,3.25,0.3,0.9,13.85,
,,Water,,,,2.25,
,,,,,,,
,,Energy solution total,,Final concentration [fold],,,
,,,,3,,50,
,,,,,,,
,,,,,,,
,,PURE with CP and 8 mM Mg2+,,,,,
,,Component,Input concentration,Unit,Final concentration,Unit,Volume for one reaction [µL]
,,Energy solution-CP,3,×,1,×,11.67 (3.5 tRNA) (8.17)
,,Sol B,3.33,x,1,x,10.51
,,Linear pT7-deGFP-ssRA,63.5,ng/µL,,,1.75
,,Linear pT7-ClpX,17.5,ng/µL,,,0.7
,,Linear pT7-ClpP,17.5,ng/µL,,,0.7
,,Mg-Acetate,200,mM,8,mM,1.4
,,Creatine phosphate,1000,mM,20,mM,0.7
,,Water,,,,,7.57
,,,,,,,
,,Total volume [µL],,,,,
,,35,,,,,
,,,,,,,
,,"PURE with PolyP, PPK and 18 mM Mg2+",,,,,
,,Component,Input concentration,Unit,Final concentration,Unit,Volume for one reaction [µL]
,,Energy solution-CP,3,×,1,×,11.67
,,Sol B,3.33,x,1,x,10.51
,,Linear pT7-deGFP-ssRA,63.5,ng/µL,,,1.75
,,Linear pT7-ClpX,17.5,ng/µL,,,0.7
,,Linear pT7-ClpP,17.5,ng/µL,,,0.7
,,Mg-Acetate,200,mM,18,mM,3.15
,,PolyP,500,mM,30,mm,2.1
,,PPK2,57.5,uM,2,uM,1.22
,,Water,,,,,3.2
,,,,,,,
,,Total volume [µL],,,,,
,,35,,,,,
,,,,,,,
,,"PURE with CP, PolyP, PPK and 18 mM Mg2+",,,,,
,,Component,Input concentration,Unit,Final concentration,Unit,Volume for one reaction [µL]
,,Energy solution-CP,3,×,1,×,11.67
,,Sol B,3.33,x,1,x,10.51
,,Linear pT7-deGFP-ssRA,63.5,ng/µL,,,1.75
,,Linear pT7-ClpX,17.5,ng/µL,,,0.7
,,Linear pT7-ClpP,17.5,ng/µL,,,0.7
,,Mg-Acetate,200,mM,18,mM,3.15
,,Creatine phosphate,1000,mM,20,mM,0.7
,,PolyP,500,mM,30,mm,2.1
,,PPK2,57.5,uM,2,uM,1.22
,,Water,,,,,2.5
,,,,,,,
,,Total volume [µL],,,,,
,,35,,,,,
,,,,,,,
,,,,,,,
,,PURExpress Positive control (PC) reaction,,,,,
,,Component,Input concentration,Unit,Final concentration,Unit,Volume for one reaction [µL]
,,Sol A,2.5,×,1,×,14
,,Sol B,3.33,x,1,x,10.5
,,Linear pT7-deGFP-ssRA,63.5,ng/µL,,,1.75
,,Linear pT7-ClpX,17.5,ng/µL,,,0.7
,,Linear pT7-ClpP,17.5,ng/µL,,,0.7
,,Water,,,,,7.35
,,,,,,,
,,Total volume [µL],,,,,
,,35,,,,,
